"ANALYTE_SYNONYM_KEY"|"DEP_PRIMARY_ANALYTE_NAME"|"DEP_ANALYTE_ID"|"LONG_NAME"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"200"|"Nitrate-Nitrite (N)"|"1820"|"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N"|"01-JAN-2014 00:00:00"|""|"ZIMMERMAN_JM"|"14-APR-2023 08:49:12"
"201"|"Orthophosphate (P)"|"1870"|"Phosphorus, orthophosphate as P"|"01-JAN-2014 00:00:00"|""|""|""
"202"|"Dissolved Oxygen"|"1880"|"Oxygen- Dissolved"|"01-JAN-2014 00:00:00"|""|""|""
"203"|"Residues- Nonfilterable (TSS)"|"1960"|"Residue-nonfilterable"|"01-JAN-2014 00:00:00"|""|""|""
"204"|"Residues- Nonfilterable (TSS)"|"1960"|"TSS"|"01-JAN-2014 00:00:00"|""|""|""
"205"|"Volatile Residues- Total"|"1970"|"Volatile Solids"|"01-JAN-2014 00:00:00"|""|""|""
"206"|"Carbon- Organic"|"2040"|"Dissolved Organic Carbon"|"01-JAN-2014 00:00:00"|""|""|""
"207"|"Trihalomethanes- Total"|"5205"|"Total Trihalomethanes"|"01-JAN-2014 00:00:00"|""|""|""
"208"|"Bromomethane"|"74839"|"Methyl bromide"|"01-JAN-2014 00:00:00"|""|""|""
"209"|"Methylene chloride"|"75092"|"Dichloromethane"|"01-JAN-2014 00:00:00"|""|""|""
"210"|"1,1-Dichloroethene"|"75354"|"1,1-Dichloroethylene"|"01-JAN-2014 00:00:00"|""|""|""
"211"|"1,2-Dichloropropane"|"78875"|"Dichloropropane, 1,2-"|"01-JAN-2014 00:00:00"|""|""|""
"212"|"Pentachloronitrobenzene"|"82688"|"PCNB"|"01-JAN-2014 00:00:00"|""|""|""
"213"|"N-Nitrosodiphenylamine"|"86306"|"N-Nitroso-N-Phenylbenzenamine"|"01-JAN-2014 00:00:00"|""|""|""
"214"|"Hexachlorobutadiene"|"87683"|"1,1,2,3,4,4-Hexachloro-1,3-butadiene"|"01-JAN-2014 00:00:00"|""|""|""
"215"|"2-Nitroaniline"|"88744"|"Nitroaniline, 2-"|"01-JAN-2014 00:00:00"|""|""|""
"216"|"1-Methylnaphthalene"|"90120"|"Methylnaphthalene, 1-"|"01-JAN-2014 00:00:00"|""|""|""
"217"|"2-Naphthylamine"|"91598"|"Naphthylamine, beta-"|"01-JAN-2014 00:00:00"|""|""|""
"218"|"2,4,5-TP"|"93721"|"Weed-B-Gon"|"01-JAN-2014 00:00:00"|""|""|""
"219"|"2-Methylphenol"|"95487"|"o-Cresol"|"01-JAN-2014 00:00:00"|""|""|""
"220"|"1,2,4-Trimethylbenzene"|"95636"|"Trimethylbenzene, 1,2,4-"|"01-JAN-2014 00:00:00"|""|""|""
"221"|"2,4,5-Trichlorophenol"|"95954"|"Trichlorophenol, 2,4,5-"|"01-JAN-2014 00:00:00"|""|""|""
"222"|"3-Nitroaniline"|"99092"|"1-Amino-3-nitrobenzene"|"01-JAN-2014 00:00:00"|""|""|""
"223"|"5-Nitro-o-toluidine"|"99558"|"5-Nitro-ortho-toluidine"|"01-JAN-2014 00:00:00"|""|""|""
"224"|"N-Nitrosopiperidine"|"100754"|"Nitrosopiperidine, n-"|"01-JAN-2014 00:00:00"|""|""|""
"225"|"3-Methylphenol"|"108394"|"Cresol, m-"|"01-JAN-2014 00:00:00"|""|""|""
"226"|"Bromobenzene"|"108861"|"Monobromobenzene"|"01-JAN-2014 00:00:00"|""|""|""
"227"|"2-Chloroethylvinyl ether"|"110758"|"2-Chloroethyl vinyl ether"|"01-JAN-2014 00:00:00"|""|""|""
"228"|"Bis(2-ethylhexyl)phthalate"|"117817"|"bis(2-ethylhexyl) phthalate (DEHP)"|"01-JAN-2014 00:00:00"|""|""|""
"229"|"1,2-Diphenylhydrazine"|"122667"|"Diphenylhydrazine, 1,2-"|"01-JAN-2014 00:00:00"|""|""|""
"230"|"1,4-Naphthoquinone"|"130154"|"Naphthalenedione, 1,4-"|"01-JAN-2014 00:00:00"|""|""|""
"231"|"Silica (SiO2)"|"7631869"|"Silica"|"01-JAN-2014 00:00:00"|""|""|""
"232"|"Toxaphene"|"8001352"|"Chlorinated camphene"|"01-JAN-2014 00:00:00"|""|""|""
"233"|"PCB-1254"|"11097691"|"Pcb-aroclor 1254"|"01-JAN-2014 00:00:00"|""|""|""
"234"|"PCB-1248"|"12672296"|"Pcb-aroclor 1248"|"01-JAN-2014 00:00:00"|""|""|""
